Facility,Time,Commodity,Flow
m6,1,"('l1', 'k2')",3.8095159
m6,1,"('l1', 'k3')",11.103282
m6,1,"('l2', 'k1')",13.596183
m6,1,"('l2', 'k3')",14.824078
m6,1,"('l2', 'k5')",6.6669413
m6,2,"('l1', 'k2')",8.9864681
m6,2,"('l1', 'k3')",14.234968
m6,2,"('l1', 'k4')",14.535498
m6,2,"('l2', 'k2')",2.637049
m6,2,"('l2', 'k4')",9.6060162
m7,1,"('l1', 'k1')",4.9554963
m7,1,"('l1', 'k2')",12.16071
m7,1,"('l1', 'k3')",10.259559
m7,1,"('l2', 'k1')",9.9216697
m7,1,"('l2', 'k2')",4.1595817
m7,1,"('l2', 'k3')",8.542983
m7,2,"('l1', 'k1')",5.0480627
m7,2,"('l1', 'k3')",4.8323989
m7,2,"('l1', 'k4')",10.279437
m7,2,"('l2', 'k3')",14.908928
m7,2,"('l2', 'k5')",14.931174
m8,1,"('l1', 'k2')",11.644814
m8,1,"('l1', 'k3')",10.239868
m8,1,"('l1', 'k4')",6.7314991
m8,1,"('l2', 'k1')",6.2377305
m8,1,"('l2', 'k2')",14.989323
m8,1,"('l2', 'k4')",0.15676495
m8,2,"('l1', 'k2')",9.1077067
m8,2,"('l1', 'k5')",4.7499687
m8,2,"('l2', 'k2')",7.6849889
m8,2,"('l2', 'k3')",20.244016
m8,2,"('l2', 'k5')",8.2133193
