Type,Facility,Time,Commodity,Flow
k1,m1,1,"('l1', 'k1')",89.061284
k1,m1,1,"('l2', 'k1')",10.938716
k1,m1,2,"('l1', 'k1')",13.91322
k1,m1,2,"('l2', 'k1')",86.08678
k2,m2,1,"('l1', 'k2')",73.410829
k2,m2,1,"('l2', 'k2')",26.589171
k2,m2,2,"('l1', 'k2')",11.038045
k2,m2,2,"('l2', 'k2')",88.961955
k3,m3,1,"('l1', 'k3')",73.610018
k3,m3,1,"('l2', 'k3')",26.389982
k3,m3,2,"('l1', 'k3')",18.19745
k3,m3,2,"('l2', 'k3')",81.80255
k4,m4,1,"('l2', 'k4')",100.0
k4,m4,2,"('l1', 'k4')",92.616059
k4,m4,2,"('l2', 'k4')",7.3839406
k5,m5,1,"('l1', 'k5')",14.228341
k5,m5,1,"('l2', 'k5')",85.771659
k5,m5,2,"('l1', 'k5')",88.423752
k5,m5,2,"('l2', 'k5')",11.576248
