Facility,Level,Time,Commodity,Flow
m1,l2,1,"('l1', 'k1')",57.342986
m1,l2,1,"('l2', 'k1')",79.828653
m1,l2,2,"('l1', 'k1')",9.3567937
m1,l2,2,"('l2', 'k1')",53.471567
m2,l2,1,"('l1', 'k2')",64.633226
m2,l2,1,"('l2', 'k2')",80.297699
m2,l2,2,"('l1', 'k2')",14.731557
m2,l2,2,"('l2', 'k2')",40.337518
m3,l1,1,"('l1', 'k1')",10.569882
m3,l1,1,"('l1', 'k2')",14.4239
m3,l1,1,"('l1', 'k4')",13.962256
m3,l1,1,"('l1', 'k5')",2.112656
m3,l1,2,"('l1', 'k4')",6.2807294
m3,l2,1,"('l1', 'k3')",86.568539
m3,l2,1,"('l2', 'k3')",95.531352
m3,l2,2,"('l1', 'k3')",5.9681013
m3,l2,2,"('l2', 'k3')",11.932008
m4,l2,1,"('l1', 'k4')",67.747087
m4,l2,1,"('l2', 'k4')",64.870479
m4,l2,2,"('l1', 'k4')",15.41924
m4,l2,2,"('l2', 'k4')",51.963194
m5,l2,1,"('l1', 'k5')",65.198621
m5,l2,1,"('l2', 'k5')",67.592122
m5,l2,2,"('l1', 'k5')",5.6721709
m5,l2,2,"('l2', 'k5')",61.537087
m8,l1,1,"('l1', 'k1')",12.080076
m8,l1,1,"('l1', 'k2')",2.8387597
m8,l1,1,"('l1', 'k3')",4.7454123
m8,l1,1,"('l1', 'k4')",13.476787
m8,l1,1,"('l1', 'k5')",9.6157859
m8,l1,2,"('l1', 'k2')",14.861278
m10,l1,1,"('l1', 'k1')",6.7092751
m10,l1,1,"('l1', 'k2')",9.9389575
m10,l1,1,"('l1', 'k3')",12.114025
m10,l1,1,"('l1', 'k5')",7.2492836
m10,l1,2,"('l1', 'k2')",7.4111958
