Facility,Level,Time_From,Time_To,Commodity,Flow
m1,l2,1,2,"('l2', 'k1')",37.171639
m2,l2,1,2,"('l2', 'k2')",44.930925
m3,l1,1,2,"('l1', 'k1')",10.569882
m3,l1,1,2,"('l2', 'k1')",10.942625
m3,l1,1,2,"('l2', 'k2')",5.4262963
m3,l2,1,2,"('l2', 'k3')",82.099891
m3,l1,1,2,"('l2', 'k5')",2.1217047
m4,l2,1,2,"('l1', 'k4')",32.617566
m5,l2,1,2,"('l2', 'k5')",32.790742
m8,l1,1,2,"('l1', 'k4')",13.476787
m8,l1,1,2,"('l2', 'k2')",13.600214
m8,l1,1,2,"('l2', 'k4')",8.0617213
m10,l1,1,2,"('l1', 'k5')",7.2492836
m10,l1,1,2,"('l2', 'k3')",8.3599561
m10,l1,1,2,"('l2', 'k4')",11.80275
