From Node,To Node,Time,Commodity,Flow
m1,m2,1,"('l1', 'k2')",0.66306678
m1,m2,1,"('l2', 'k2')",1.3857019
m1,m3,1,"('l1', 'k3')",1.2836433
m1,m3,1,"('l2', 'k3')",1.2591175
m1,m4,1,"('l1', 'k4')",1.3085234
m1,m4,1,"('l2', 'k4')",0.68110506
m1,m5,1,"('l1', 'k5')",1.1256284
m1,m5,1,"('l2', 'k5')",0.65016932
m1,m5,2,"('l2', 'k5')",1.1806708
m2,m1,1,"('l1', 'k1')",0.68091714
m2,m1,1,"('l2', 'k1')",0.64604175
m2,m3,1,"('l1', 'k3')",0.7427344
m2,m3,1,"('l2', 'k3')",1.3571034
m2,m4,1,"('l1', 'k4')",0.50818342
m2,m4,1,"('l2', 'k4')",0.70021216
m2,m4,2,"('l2', 'k4')",0.85570587
m2,m5,1,"('l1', 'k5')",0.8600685
m2,m5,1,"('l2', 'k5')",0.63463346
m3,m4,2,"('l2', 'k4')",1.0843858
m3,m5,1,"('l1', 'k5')",0.46676907
m4,m1,1,"('l1', 'k1')",1.0248747
m4,m1,1,"('l2', 'k1')",0.5868984
m4,m1,2,"('l2', 'k1')",0.1696136
m4,m2,1,"('l1', 'k2')",0.61794287
m4,m2,1,"('l2', 'k2')",0.97852156
m4,m3,1,"('l1', 'k3')",0.83180139
m4,m3,1,"('l2', 'k3')",1.3377898
m4,m5,1,"('l1', 'k5')",1.3698608
m4,m5,1,"('l2', 'k5')",0.54834598
m4,m5,2,"('l2', 'k5')",1.2938129
m5,m1,1,"('l1', 'k1')",1.218084
m5,m1,1,"('l2', 'k1')",1.0372969
m5,m1,2,"('l2', 'k1')",0.64114857
m5,m2,1,"('l1', 'k2')",0.98370248
m5,m2,1,"('l2', 'k2')",1.177934
m5,m2,2,"('l2', 'k2')",1.2810664
m5,m3,1,"('l1', 'k3')",1.4802305
m5,m3,1,"('l2', 'k3')",1.2401806
m5,m4,1,"('l1', 'k4')",1.2613147
m5,m4,1,"('l2', 'k4')",1.1275566
m6,m1,1,"('l1', 'k1')",0.5277094
m6,m1,1,"('l2', 'k1')",0.76112551
m6,m1,2,"('l2', 'k1')",1.402993
m6,m2,1,"('l1', 'k2')",1.1371465
m6,m2,1,"('l2', 'k2')",0.82268275
m6,m3,1,"('l1', 'k3')",1.3769079
m6,m3,1,"('l2', 'k3')",1.254521
m6,m4,1,"('l1', 'k4')",0.66563906
m6,m4,1,"('l2', 'k4')",0.58452374
m6,m5,1,"('l1', 'k5')",0.73385566
m6,m5,1,"('l2', 'k5')",1.4908108
m7,m1,1,"('l1', 'k1')",0.91920283
m7,m1,1,"('l2', 'k1')",1.2471107
m7,m1,2,"('l2', 'k1')",1.1284376
m7,m2,1,"('l1', 'k2')",1.0678161
m7,m2,1,"('l2', 'k2')",1.4678786
m7,m2,2,"('l2', 'k2')",0.72541341
m7,m3,1,"('l1', 'k3')",1.1986277
m7,m3,1,"('l2', 'k3')",0.79009941
m7,m4,1,"('l1', 'k4')",0.53139636
m7,m4,1,"('l2', 'k4')",1.4421327
m7,m4,2,"('l2', 'k4')",1.0624739
m7,m5,1,"('l1', 'k5')",0.50775962
m7,m5,1,"('l2', 'k5')",1.0911282
m8,m1,1,"('l2', 'k1')",0.57439064
m8,m2,1,"('l1', 'k2')",0.42966677
m8,m3,1,"('l1', 'k3')",0.31091079
m8,m4,1,"('l2', 'k4')",0.21874913
m8,m4,2,"('l2', 'k4')",0.70161453
m8,m5,2,"('l2', 'k5')",0.47965162
m9,m1,1,"('l1', 'k1')",0.61475467
m9,m1,1,"('l2', 'k1')",1.2957847
m9,m1,2,"('l2', 'k1')",1.03616
m9,m2,1,"('l1', 'k2')",0.94582258
m9,m2,1,"('l2', 'k2')",0.58977683
m9,m2,2,"('l2', 'k2')",1.2389961
m9,m3,1,"('l1', 'k3')",0.77845231
m9,m3,1,"('l2', 'k3')",1.160933
m9,m4,1,"('l1', 'k4')",0.71042213
m9,m4,1,"('l2', 'k4')",0.72298052
m9,m4,2,"('l2', 'k4')",0.76956685
m9,m5,1,"('l1', 'k5')",0.86510911
m9,m5,1,"('l2', 'k5')",0.96084058
m9,m5,2,"('l2', 'k5')",0.55267709
m10,m1,1,"('l2', 'k1')",0.7301031
m10,m2,1,"('l2', 'k2')",0.5645512
m10,m4,1,"('l1', 'k4')",1.0168132
m10,m4,2,"('l1', 'k4')",0.95334044
m10,m5,2,"('l2', 'k5')",1.4990496
